"ID","Name","Sample Date","Population","Virus/L","Weekly Geomean","Population Avg","Week Mid Date","Week"
17,"Pryor",2022-06-13,9253,64363.9016689878,64363.9016689877,64363.9016689878,"06/15/2022","06/12/2022 - 06/18/2022"
17,"Pryor",2022-06-20,9253,422410.052251429,422410.052251429,422410.052251429,"06/22/2022","06/19/2022 - 06/25/2022"
17,"Pryor",2022-06-28,9253,253288.824514438,253288.824514438,151377.231933872,"06/29/2022","06/26/2022 - 07/02/2022"
22,"Miami",2022-06-29,13176,79808.6249098909,79808.6249098908,605259.071064615,"07/06/2022","07/03/2022 - 07/09/2022"
21,"Bartlesville",2022-07-04,36495,720456.002181833,720456.002181832,3908604.52401875,"07/13/2022","07/10/2022 - 07/16/2022"
17,"Pryor",2022-07-05,9253,150907.833506758,150907.833506758,1619778.55754296,"07/20/2022","07/17/2022 - 07/23/2022"
24,"Claremore",2022-07-11,19580,3197612.853,3197612.853,706588.459213276,"07/27/2022","07/24/2022 - 07/30/2022"
22,"Miami",2022-07-11,13176,2789972.882,2789972.882,653751.930909767,"08/03/2022","07/31/2022 - 08/06/2022"
21,"Bartlesville",2022-07-12,36495,5056744.36,5056744.36,456845.222396709,"08/10/2022","08/07/2022 - 08/13/2022"
17,"Pryor",2022-07-13,9253,2477603.132,2477603.132,338237.901659869,"08/17/2022","08/14/2022 - 08/20/2022"
24,"Claremore",2022-07-19,19580,2423893.69523643,2423893.69523643,321307.280604207,"08/24/2022","08/21/2022 - 08/27/2022"
22,"Miami",2022-07-18,13176,1853533.84818533,881480.489846226,753876.757485802,"08/31/2022","08/28/2022 - 09/03/2022"
21,"Bartlesville",2022-07-18,36495,1636492.68443808,1636492.68443808,864799.39879615,"09/07/2022","09/04/2022 - 09/10/2022"
17,"Pryor",2022-07-18,9253,903606.384506819,903606.384506819,453231.669754794,"09/14/2022","09/11/2022 - 09/17/2022"
22,"Miami",2022-07-20,13176,419203.487835013,NA,545581.786555071,"09/21/2022","09/18/2022 - 09/24/2022"
24,"Claremore",2022-07-26,19580,768256.097066251,768256.097066251,263916.884233167,"09/28/2022","09/25/2022 - 10/01/2022"
21,"Bartlesville",2022-07-25,36495,505569.860159802,505569.860159802,186276.945869592,"10/05/2022","10/02/2022 - 10/08/2022"
17,"Pryor",2022-07-25,9253,1368938.12130073,1368938.12130073,257686.851104167,"10/12/2022","10/09/2022 - 10/15/2022"
22,"Miami",2022-08-01,13176,673490.16025774,460734.720118123,210164.525627272,"10/19/2022","10/16/2022 - 10/22/2022"
21,"Bartlesville",2022-08-01,36495,257843.814349772,257843.814349772,70607.4219789252,"10/26/2022","10/23/2022 - 10/29/2022"
17,"Pryor",2022-08-01,9253,1164939.48354972,1164939.48354972,NA,NA,NA
24,"Claremore",2022-08-02,19580,1279995.19233317,1279995.19233317,NA,NA,NA
22,"Miami",2022-08-03,13176,315188.691459261,NA,NA,NA,NA
21,"Bartlesville",2022-08-08,36495,210575.530843647,210575.530843647,NA,NA,NA
17,"Pryor",2022-08-09,9253,1014428.49171335,1014428.49171335,NA,NA,NA
24,"Claremore",2022-08-09,19580,832373.749921848,832373.749921847,NA,NA,NA
29,"Cushing",2022-08-15,8184,269014.119901581,269014.11990158,NA,NA,NA
24,"Claremore",2022-08-15,19580,466330.9059453,466330.905945299,NA,NA,NA
21,"Bartlesville",2022-08-15,36495,373027.49691045,373027.49691045,NA,NA,NA
22,"Miami",2022-08-10,13176,189347.183029674,189347.183029674,NA,NA,NA
17,"Pryor",2022-08-15,9253,264507.533503392,264507.533503392,NA,NA,NA
21,"Bartlesville",2022-08-23,36495,120709.87330745,120709.87330745,NA,NA,NA
29,"Cushing",2022-08-23,8184,318283.869895897,318283.869895897,NA,NA,NA
24,"Claremore",2022-08-23,19580,363908.847278369,363908.84727837,NA,NA,NA
22,"Miami",2022-08-17,13176,146301.5950329,146301.5950329,NA,NA,NA
17,"Pryor",2022-08-23,9253,88501.6062853666,88501.6062853665,NA,NA,NA
21,"Bartlesville",2022-08-29,36495,1118660.03926026,1118660.03926026,NA,NA,NA
29,"Cushing",2022-08-29,8184,1072856.15959776,1072856.15959776,NA,NA,NA
22,"Miami",2022-08-24,13176,978984.739736274,978984.739736274,NA,NA,NA
24,"Claremore",2022-08-30,19580,556624.502961675,556624.502961674,NA,NA,NA
22,"Miami",2022-08-31,13176,174669.662385075,174669.662385075,NA,NA,NA
17,"Pryor",2022-08-30,9253,275171.314211885,275171.314211885,NA,NA,NA
21,"Bartlesville",2022-09-05,36495,962975.541930907,962975.541930907,NA,NA,NA
29,"Cushing",2022-09-05,8184,345120.643127705,345120.643127705,NA,NA,NA
22,"Miami",2022-09-08,13176,400804.024736527,400804.024736527,NA,NA,NA
24,"Claremore",2022-09-06,19419,1108595.30139026,1108595.30139026,NA,NA,NA
17,"Pryor",2022-09-06,9253,1086288.97069956,1086288.97069956,NA,NA,NA
21,"Bartlesville",2022-09-12,36495,152005.626683815,152005.626683815,NA,NA,NA
29,"Cushing",2022-09-12,8184,304004.252877561,304004.252877561,NA,NA,NA
22,"Miami",2022-09-14,13176,1035495.55511048,1035495.55511048,NA,NA,NA
21,"Bartlesville",2022-09-19,36495,741602.980632583,741602.980632584,NA,NA,NA
29,"Cushing",2022-09-19,8184,765507.428267841,765507.428267841,NA,NA,NA
17,"Pryor",2022-09-12,9253,199155.942469294,199155.942469294,NA,NA,NA
32,"Stillwater",2022-09-19,48134,574444.793171052,574444.793171052,NA,NA,NA
24,"Claremore",2022-09-13,19419,808222.934635834,808222.934635834,NA,NA,NA
24,"Claremore",2022-09-20,19419,246113.476745138,246113.476745138,NA,NA,NA
17,"Pryor",2022-09-20,9253,287934.593098687,287934.593098687,NA,NA,NA
22,"Miami",2022-09-21,13176,382894.149879388,382894.149879388,NA,NA,NA
21,"Bartlesville",2022-09-26,36495,130862.000343395,130862.000343395,NA,NA,NA
29,"Cushing",2022-09-26,8184,1369119.08475304,1369119.08475304,NA,NA,NA
32,"Stillwater",2022-09-26,48134,168129.667451528,168129.667451528,NA,NA,NA
17,"Pryor",2022-09-26,9253,243272.150803681,243272.150803681,NA,NA,NA
24,"Claremore",2022-09-27,19419,242546.403557693,242546.403557693,NA,NA,NA
22,"Miami",2022-09-29,13176,341899.895293434,341899.895293434,NA,NA,NA
21,"Bartlesville",2022-10-04,36495,184058.015451382,184058.015451382,NA,NA,NA
29,"Cushing",2022-10-04,8184,1262015.10501386,1262015.10501386,NA,NA,NA
32,"Stillwater",2022-10-04,48134,101227.885700048,101227.885700048,NA,NA,NA
17,"Pryor",2022-10-03,9253,109060.656741868,109060.656741868,NA,NA,NA
24,"Claremore",2022-10-04,19419,99352.7151934055,99352.7151934055,NA,NA,NA
22,"Miami",2022-10-05,13176,17284.3982205676,17284.3982205676,NA,NA,NA
29,"Cushing",2022-10-10,8184,748966.171,748966.171,NA,NA,NA
21,"Bartlesville",2022-10-11,36495,118871.0998,118871.0998,NA,NA,NA
32,"Stillwater",2022-10-11,48134,113110.9339,113110.9339,NA,NA,NA
17,"Pryor",2022-10-10,9253,57818.24261,57818.24261,NA,NA,NA
24,"Claremore",2022-10-11,19419,765120.4122,765120.4122,NA,NA,NA
21,"Bartlesville",2022-10-17,36495,291589.3028,291589.3028,NA,NA,NA
29,"Cushing",2022-10-17,8184,569231.1444,569231.1444,NA,NA,NA
32,"Stillwater",2022-10-18,48134,222754.9755,222754.9755,NA,NA,NA
17,"Pryor",2022-10-17,9253,34319.58731,34319.58731,NA,NA,NA
24,"Claremore",2022-10-18,19419,86437.67979,86437.6797899999,NA,NA,NA
22,"Miami",2022-10-19,13176,21451.5375,21451.5375,NA,NA,NA
21,"Bartlesville",2022-10-25,36495,78833.4950835601,78833.4950835601,NA,NA,NA
29,"Cushing",2022-10-25,8184,63315.0967653169,63315.0967653169,NA,NA,NA
32,"Stillwater",2022-10-25,48134,7749.15741206222,7749.15741206222,NA,NA,NA
24,"Claremore",2022-10-25,19419,110073.323056977,110073.323056977,NA,NA,NA
22,"Miami",2022-10-25,13176,141392.158839347,141392.158839347,NA,NA,NA
17,"Pryor",2022-10-25,9253,187979.250828843,187979.250828843,NA,NA,NA
